City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,ambon,-3.6954,128.1814,299.23,89,40,2.57,ID,1722470910
349,suva,-18.1416,178.4415,298.86,83,75,3.09,FJ,1722470910
350,dongola,19.1667,30.4833,303.96,53,89,6.97,SD,1722470910
351,neftegorsk,52.802,51.166,292.12,54,94,2.53,RU,1722470910
352,malango,-2.9627,119.9001,295.25,90,80,0.78,ID,1722470910
353,argo,37.6333,22.7333,297.47,37,0,1.8,GR,1722470911
354,wichita falls,33.9137,-98.4934,311.23,37,0,8.75,US,1722470724
355,tralee,52.2704,-9.7026,286.83,97,89,1.51,IE,1722470911
356,bhalki,18.0333,77.2167,296.33,91,100,6.5,IN,1722470912
357,prainha,-1.8,-53.48,301.06,54,18,1.19,BR,1722470912
358,mount isa,-20.7333,139.5,292.02,34,0,4.12,AU,1722470912
359,bezhetsk,57.7851,36.6965,286.53,98,96,3.89,RU,1722470912
360,raigarh,21.9,83.4,298.29,92,100,2.22,IN,1722470913
361,sinan,34.8262,126.1086,298.67,90,59,4.89,KR,1722470913
362,portland,45.5234,-122.6762,304.81,45,20,3.6,US,1722470824
363,rock springs,41.5875,-109.2029,303.73,22,0,5.66,US,1722470914
364,vanimo,-2.6741,141.3028,300.16,89,99,1.84,PG,1722470914
365,noumea,-22.2763,166.4572,294.26,99,100,3.08,NC,1722470707
